Source.Name,Column1,Column2,Date,Likes,Comment,(view source),Post ID,Label,Hate_Label
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,10,,04-07-2021 16:53,3,Madar chod owesi,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,11,,04-07-2021 17:05,3,Galti ho gai baba saheb ambedkar se tuj jaise lunf jaise logo ko bolne ka adhikaar dete isko bhejo pakistan pehle,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,12,,12-07-2021 17:14,2,Har atankwadi mulla kiu pith piche war krte ho tum log jiska khao usi ko maro,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,13,,13-07-2021 07:01,2,Owesi tere Bhen ki chut lawade,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,14,,02-08-2021 06:25,1,Ye chutiya h owesi,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,15,,14-10-2021 17:13,2,हमको एक मस्त बकरी चाहिए😍,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,15-Jan,05-11-2021 15:55,1,@abdul.miya786 owesi ko l jaao...😂😂😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,15-Feb,06-11-2021 18:19,0,@karan_singh_2156 wallah habibi इसको तुम रखती हमें बकरा नहीं बकरी चाहिए होती😍,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,15-Mar,07-11-2021 02:59,0,@abdul.miya786  bkri bhi aapke pass h but bkraa chahae to see l jaao yrrr.. hnare  to y pnoti  h,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,16,,25-11-2021 02:58,2,Chutiya sala owesi,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,17,,30-12-2021 05:29,2,Jay jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,17-Jan,03-06-2022 13:29,0,@_harshiv_77 ye bhdwa giri apne bhagwaan ke aage kro jake thik yha koi fayda ni bhokne ka ghr wale padhne likhne ka pesa dete h na ki dusro ki video pe comment krne ka😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,18,,30-12-2021 05:29,2,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,19,,30-12-2021 05:29,2,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,20,,30-12-2021 05:30,2,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,21,,30-12-2021 05:30,3,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,22,,30-12-2021 05:30,3,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,23,,30-12-2021 05:30,3,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,24,,30-12-2021 05:30,4,Jay Shree ram,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,25,,30-12-2021 05:30,3,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,26,,30-12-2021 05:30,4,Jay Shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,27,,30-12-2021 12:06,1,ranwda,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,28,,30-12-2021 12:26,7,Owesi ka maa ka bhosda,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,28-Jan,10-06-2022 18:07,0,@_stoner_2911 😂😂👏👏bhai ye  gandu issa hai  aapne to iska lehnga kho ke chod diya 🤣🤣🤣,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,29,,30-12-2021 18:17,2,Teri maa ko bhosdaa 😂😂😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,30,,14-01-2022 06:17,1,Bass vale bolta ky hai kuch karke bhii dekha kutte jaise ky bhook ta bc mc lavde,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,31,,22-01-2022 14:31,,Owesi jinda bad 💪💪💪💪💪💪💪,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,31-Jan,31-03-2023 15:51,0,@danish__khan.1111 itna pasand hai toh Teri ammi Chachi ko bhej de uske pass 😂😂😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,32,,22-01-2022 14:32,,Lakh kutte bhok te h ser  per arr ser  ka kuch nhi bigde ga,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,32-1,10-03-2022 07:42,4,@danish__khan.1111 uska bap he yogi ADITYANATH,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,32-2,19-01-2023 11:13,0,@danish__khan.1111 owesi sher hai??? Abey lodu to yogi kya hai fir,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,33,,22-01-2022 14:33,,Owesi jinda baad 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,33-1,10-03-2022 07:41,1,@danish__khan.1111 teri ma ki chut,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,34,,22-01-2022 14:34,,Muslim 💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,34-1,08-03-2023 10:39,0,@danish__khan.1111 👏,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,35,,08-02-2022 02:14,3,"Kutte bhi puri raat bhookte rehte hai ,unko bhi koi kuch nhi kehta iska matlab ye nhi ki kutta shi kam kr rha hai !!!",https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,35-1,25-02-2022 01:35,0,@mr.yashbharadwaj_ kutta to vo h jo hijdo ki foj leke ghum raha ye Shere h jo goli chalne ke baad bhi suraksha nahi liye kutta modi h modi,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,35-2,25-02-2022 05:58,0,"@kildil50 bhai ek baat bata agar kisi ko goli marni hoti to kiya vo gaddi ke bilkul niche hi marta ,ya phir itna pagal tha ki exact tol-tax pe akke camera me record hoke ye kam karta ?? itna sab kafi nhi hai kiya ye janane ke liye ki ye sab scripted tha !!?",https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,36,,09-02-2022 04:08,4,Jai shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,37,,09-02-2022 04:08,4,Jai shree ram 🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,38,,22-02-2022 06:43,2,suvar k skl ka katuwa sala🤣🤣🤣😡😡💩halala k aulad 😂😂kutiya  ka bacha bsdika,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,38-1,25-02-2022 01:34,0,Or Yogi teri husband h jo tujhe or teri Amma ko chodta h jo vo accha lagta h vo to suar ki shakl se bhi ganda hijda randua Bina land ka lagta h or tu randi or teri Amma Randi use se chudvate ho bc,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,39,,22-02-2022 06:43,1,owesi  k ma chud gyi😂😂😂kutto s tbi esa kutta peda huaa😂allah ka b nunu kata hua h iske jse😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,39-1,25-02-2022 01:33,0,Or Modi randua peda hua tere raam or bhole or Hanuman randue jese uska bhi kuch nahi bc ka,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,40,,10-03-2022 07:42,,Or beta beta hota he,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,41,,01-04-2022 17:16,3,Owesi chutiya sala,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,42,,10-04-2022 18:42,1,Chutiya .....bhadwa😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,42-1,15-04-2022 16:56,1,Tera lawda hai bhi kya😂....chutiye // Teri chut marunga mai😂🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,43,,07-05-2022 09:07,3,इस्लामिक आतंकवाद,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,44,,18-05-2022 11:05,1,Hecha aaichi Gand,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,45,,18-05-2022 11:06,1,Pakistan mudda bad,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,46,,08-06-2022 10:25,4,बेचारा मुस्लिम जगाने आया था हिन्दू जगा के चला गया 😂😂😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,47,,10-06-2022 06:07,1,Ye bahut bada m hai😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,48,,11-06-2022 05:10,2,Sala sakal se hi terrrirest dikhta he....m,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,49,,30-06-2022 12:07,3,तो फिर मान लें भाई की उदयपुर में हुई आतंकी घटना का जिम्मेदार तू ही है,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,50,,25-08-2022 14:46,1,🎉 .,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,51,,25-08-2022 14:46,1,💎 .,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,52,,28-12-2022 10:12,1,Gand fad dega tera bap,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,53,,28-12-2022 10:12,1,Raja,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,54,,28-12-2022 12:44,3,जय श्री राम,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,55,,31-03-2023 15:49,,Areyy bhai me socha koi toh hoga Jo owesi Bhai ki tarifh karega lekin salla comment me gali pe Galli 😂😂😂...Jane doh Hindu waisyoh bete ko aise gandi gandi galiya math dijiye ...akhir beta hum sab ka hai isliye 😂😂😂😂,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HSN',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,56,,14-04-2023 20:18,,ऐसी सोच रखने वाले मुसलमानों के लिए पाकिस्तान बना था। यदि इनको यही सोच रखनी थी तो उनको उसी टाइम पर पाकिस्तान चले जाना था। इतनी गंदी सोच रख कर ये हिंदुस्तान में क्यो रूके ।,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,57,,16-04-2023 14:00,1,Bas Nam hi kafhi Hai Yogi adityanath🙌🔥,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,58,,18-04-2023 11:36,3,"🚩 Jᴀɪ ❖Sʜʀᴇᴇ❖Rᴀᴍ࿐, ➹🚩",https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,59,,20-04-2023 03:19,,🔥🔥,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,60,,28-04-2023 18:48,1,Aaja na fir 5min ke liye police ko hata kr,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,61,,03-05-2023 12:17,5,Ye pgl ovesi chutiya  h ky 🔥🔥🔥🔥🔥,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,62,,14-05-2023 18:04,2,🚩🚩🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,63,,24-05-2023 07:12,1,Bhai tn bhi rokange or Teri maa n rokange ... Or jarurt Pdi to sare mulla n thokangee... Jai shree ram,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,64,,29-05-2023 11:36,5,Teri gaand marege bete,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,64-1,01-06-2024 16:45,0,@anu__sharma___________________  to Teri kon marega,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,65,,01-06-2023 08:57,3,Jai shri raam,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,66,,09-06-2023 03:10,3,जय श्रीराम 🚩🚩,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,67,,09-07-2023 04:24,3,Jay shree Ram,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,68,,26-07-2023 03:40,1,,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,69,,01-11-2023 08:16,5,Teri maki chutti,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS1',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,70,,21-12-2023 12:05,4,Jai shree ram 🔥❤️,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,71,,21-01-2024 15:39,,Allahuakbar ❤️🔥🙌,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 01 instagram-comments66804c78ca6bc-BxOsV8Gnauf.xlsx,,,,,,https://www.instagram.com/p/BxOsV8Gnauf/c/17863711699391878,1,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,1,,18-01-2024 03:37,46,Jay Shri Ram 🚩,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,,01-Jan,18-01-2024 20:24,1,@aradhnamishra496 🙌❤️,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,2,,18-01-2024 03:37,20,Jai shree ram 🙏🙏,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,3,,18-01-2024 03:37,3,Good morning 🌄❤️ ji Ram Ram,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,4,,18-01-2024 03:37,25,JAI SHREE RAM 🙏🏻 ❤️,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,5,,18-01-2024 03:37,61,जय श्री राम ❤️,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,6,,18-01-2024 03:38,105,Jay shree ram 🚩🥰,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,7,,18-01-2024 03:38,321,Jai shree Ram,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,,07-Jan,18-01-2024 20:24,0,@soni754955 ❤️🙌,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,8,,18-01-2024 03:38,6,So talented 👏,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,9,,18-01-2024 03:39,15,जय श्री राम 🚩🙏,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,10,,18-01-2024 03:39,,,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,11,,18-01-2024 03:39,1981,हमारे बुल्डोजर बाबा के आगे कोई बोल सकता है क्या हैं📿🚩🔥✊🏻🥰,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,,11-Jan,18-01-2024 04:47,4,@officialarchitpandit Yogi bhaaaaiiiiii....... 😂😂😂,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,,11-Feb,18-01-2024 05:09,5,@officialarchitpandit dusre ke land se mutne wala ...insan ..... andhabhakt 😂😂😂😂,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HSN',
PostID 02 instagram-comments66804f3a93556-C2OggU8ywjz.xlsx,,11-Mar,18-01-2024 06:10,3,@tejas__2k3 Bhai Mai bhi yahi likhne wala tha,https://www.instagram.com/p/C2OggU8ywjz/c/18014898487915647,2,'HS0',
